date,scene_id,acquired_utc,polarisation,relative_orbit,orbit_state,platform,valid_share,water_cells,land_cells,water_median_db,water_p5_db,water_p95_db,land_median_db,land_contrast_db,passes_gates,reject_reason,role,season,target_day,offset_days,spread_db
2021-05-25,S1B_IW_GRDH_1SDH_20210525T204722_20210525T204747_027066_033BD2_rtc,2021-05-25T20:47:35.060359Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-17.887,-21.826,-11.596,-9.376,8.511,1,,suspect,2021,2021-05-26,-1,10.23
2021-05-26,S1B_IW_GRDH_1SDH_20210526T100735_20210526T100804_027074_033C05_rtc,2021-05-26T10:07:50.161094Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-22.533,-27.002,-12.042,-10.7,11.833,1,,suspect,2021,2021-05-26,0,14.96
2021-03-26,S1B_IW_GRDH_1SDH_20210326T204719_20210326T204744_026191_032036_rtc,2021-03-26T20:47:32.472612Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-15.436,-19.799,-11.721,-10.945,4.49,1,,closed_ice,2021,2021-03-28,-2,8.078
2021-03-27,S1B_IW_GRDH_1SDH_20210327T100733_20210327T100802_026199_032070_rtc,2021-03-27T10:07:47.566423Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-14.22,-19.13,-10.404,-11.713,2.507,1,,closed_ice,2021,2021-03-28,-1,8.726
2021-03-28,S1A_IW_GRDH_1SDH_20210328T095957_20210328T100026_037197_04616E_rtc,2021-03-28T10:00:12.249022Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-15.407,-19.949,-11.688,-12.017,3.39,1,,closed_ice,2021,2021-03-28,0,8.261
2021-04-01,S1B_IW_GRDH_1SDH_20210401T101541_20210401T101611_026272_0322AF_rtc,2021-04-01T10:15:56.484553Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-14.047,-18.71,-10.44,-11.06,2.987,1,,closed_ice,2021,2021-03-28,4,8.27
2021-04-01,S1A_IW_GRDH_1SDH_20210401T204801_20210401T204826_037262_0463AF_rtc,2021-04-01T20:48:14.384963Z,HH,90,ascending,SENTINEL-1A,1.0,2528997,141891,-12.652,-17.45,-8.77,-10.505,2.147,1,,closed_ice,2021,2021-03-28,4,8.68
2021-06-06,S1B_IW_GRDH_1SDH_20210606T204723_20210606T204748_027241_034103_rtc,2021-06-06T20:47:35.931872Z,HH,90,ascending,SENTINEL-1B,1.0,2528997,141891,-24.048,-27.943,-19.323,-9.441,14.607,1,,open_water,2021,2021-06-09,-3,8.62
2021-06-07,S1B_IW_GRDH_1SDH_20210607T100736_20210607T100805_027249_03413B_rtc,2021-06-07T10:07:51.049378Z,HH,98,descending,SENTINEL-1B,1.0,2528997,141891,-23.436,-27.951,-18.444,-10.353,13.083,1,,open_water,2021,2021-06-09,-2,9.507
2021-06-08,S1A_IW_GRDH_1SDH_20210608T100001_20210608T100030_038247_04837B_rtc,2021-06-08T10:00:15.666758Z,HH,25,descending,SENTINEL-1A,1.0,2528997,141891,-23.839,-27.851,-19.202,-10.05,13.789,1,,open_water,2021,2021-06-09,-1,8.649
2021-06-12,S1B_IW_GRDH_1SDH_20210612T101545_20210612T101614_027322_034365_rtc,2021-06-12T10:16:00.276805Z,HH,171,descending,SENTINEL-1B,1.0,2528997,141891,-23.358,-26.5,-19.974,-10.315,13.043,1,,open_water,2021,2021-06-09,3,6.526
