date,season,doy,group,s2_ice,s2_share,landsat_id,landsat_cloud,landsat_sun,landsat_ice,landsat_share
2023-04-05,2023,95,"april anchor, control",0.9959515007724564,0.8652158086633767,LC08_L2SP_011010_20230405_02_T1,10.35,25.17850602,0.99467298862476,0.9975815729392615
2023-04-11,2023,101,"april anchor, outlier",0.5952123445734164,0.8975151631311789,LC09_L2SP_013010_20230411_02_T1,1.42,27.43082739,0.4158234219454905,0.9552964977329472
2023-04-12,2023,102,"april anchor, outlier",0.5207082527729724,0.741949691074507,LC08_L2SP_012010_20230412_02_T1,2.86,27.79529841,0.3756017563349733,0.9425881799822625
2023-04-20,2023,110,"april anchor, control",0.9970013376696654,0.9467666230507905,LC09_L2SP_012010_20230420_02_T1,0.23,30.63662154,0.9980002571098001,0.99741773251983
2023-04-29,2023,119,"season, ordinary",0.8827365761864254,0.474909714145804,LC09_L2SP_011010_20230429_02_T1,0.01,33.58259916,0.8701966146447263,0.9064934232318591
2023-05-22,2023,142,"season, ordinary",0.005629174918332389,0.9465426621983268,LC09_L2SP_012010_20230522_02_T1,3.82,39.48770685,0.005553008120100951,0.986486727145152
2024-03-12,2024,72,"winter, ordinary",0.9923970377385791,0.9123234408189226,LC09_L2SP_013010_20240312_02_T1,0.78,16.05177404,0.9830376694984772,0.9986643444068086
2024-03-21,2024,81,"winter, ordinary",0.9901235723647257,0.8982563203132977,LC09_L2SP_012010_20240321_02_T1,0.29,19.62222163,0.999417923640205,0.9912844020358953
2024-03-22,2024,82,"winter, ordinary",0.9905977165883143,0.9467975981236091,LC08_L2SP_011010_20240322_02_T1,0.01,20.01578353,0.9994435808979527,0.9921855243427684
2024-03-29,2024,89,"winter, ordinary",0.9946399721227864,0.9467979172665323,LC08_L2SP_012010_20240329_02_T1,0.02,22.77103964,0.9995669864763793,0.9952842453189724
2024-03-30,2024,90,"winter, ordinary",0.9997038448662151,0.9317967761093747,LC09_L2SP_011010_20240330_02_T1,0.03,23.16006491,0.9999572587165505,0.999992876503503
2024-04-13,2024,104,"april anchor, control",0.9991396653103997,0.9249026282883519,LC09_L2SP_013010_20240413_02_T1,4.26,28.43834522,0.9990596984623933,1.0
2024-04-14,2024,105,"april anchor, control",0.998579509423433,0.9459401094154909,LC08_L2SP_012010_20240414_02_T1,16.85,28.79592486,0.9998075044737387,0.9991629891616001
2024-04-15,2024,106,"april anchor, control",0.9988777766775588,0.9098307487177023,LC09_L2SP_011010_20240415_02_T1,0.01,29.15295607,0.9997790362416203,0.9993873793012562
2024-06-17,2024,169,"season, ordinary",0.0018743094649339717,0.9126462997419122,LC08_L2SP_012010_20240617_02_T1,12.82,42.4553487,0.001833407300162242,0.9791174700189841
2024-07-12,2024,194,"july anchor, control",0.002716546236165737,0.6567273557308216,LC08_L2SP_011010_20240712_02_T1,0.53,40.86264918,0.001935622350497129,0.9292529945398399
2025-03-24,2025,83,"winter, ordinary",0.9909219638042402,0.9457646396947311,LC09_L2SP_012010_20250324_02_T1,7.75,20.71230197,0.98145675825189,0.9657680375835676
2025-03-31,2025,90,"winter, ordinary",0.9954635308429216,0.9467969598262758,LC09_L2SP_013010_20250331_02_T1,13.21,23.4581257,0.9962713036534808,0.9991665509098486
2025-04-09,2025,99,"april anchor, control",0.9859752959341225,0.9379846364585408,LC09_L2SP_012010_20250409_02_T1,12.46,26.88092319,0.8632286123300035,0.9155972517550515
2025-04-17,2025,107,"april anchor, outlier",0.712831119820016,0.88975991527941,LC08_L2SP_012010_20250417_02_T1,0.08,29.77257791,0.5875877044491402,0.91526600916794
2025-04-18,2025,108,"april anchor, outlier",0.8305093361347385,0.7841568898396291,LC09_L2SP_011010_20250418_02_T1,7.82,30.12102247,0.6497503539757061,0.9081068951884342
2025-05-28,2025,148,"season, ordinary",0.0009827293246430474,0.946762469011303,LC08_L2SP_011010_20250528_02_T1,0.01,40.63690834,0.0009966706200077162,0.9970473107019849
2025-06-03,2025,154,"season, ordinary",0.0010652125669720698,0.9467482261414525,LC09_L2SP_013010_20250603_02_T1,3.26,41.46136228,0.0009885301947797041,0.9980517237080648
2025-06-12,2025,163,"season, ordinary",0.0004246984324190696,0.946773651487145,LC09_L2SP_012010_20250612_02_T1,3.81,42.25050837,0.0004391727841412208,0.9975459554567764
2025-06-19,2025,170,"season, ordinary",0.000760779291587683,0.9467653449538421,LC09_L2SP_013010_20250619_02_T1,8.19,42.48350234,0.0007319860029993573,0.9975032144777943
