import time: self [us] | cumulative | imported package
import time:       735 |      56137 |                   torch.utils._python_dispatch
import time:       992 |      58088 |                 torch.nn.modules.module
import time:       289 |        289 |                         torch.distributed.autograd
import time:       341 |        341 |                           torch.futures
import time:       230 |        230 |                           torch.distributed.rpc._utils
import time:       176 |        176 |                           torch.distributed.rpc.constants
import time:       303 |        303 |                           torch.distributed.rpc.internal
import time:       466 |       1514 |                         torch.distributed.rpc.api
import time:       370 |        370 |                         torch.distributed.rpc.backend_registry
import time:       228 |        228 |                         torch.distributed.rpc.functions
import time:       212 |        212 |                         torch.distributed.rpc.options
import time:       906 |        906 |                                       _csv
import time:       305 |       1210 |                                     csv
import time:       217 |        217 |                                     email
import time:       577 |        577 |                                     zipfile
import time:       447 |        447 |                                         uu
import time:       228 |        228 |                                         quopri
import time:       383 |        383 |                                             calendar
import time:       255 |        638 |                                           email._parseaddr
import time:       193 |        193 |                                             email.base64mime
import time:       235 |        235 |                                             email.quoprimime
import time:       301 |        301 |                                             email.errors
import time:       135 |        135 |                                             email.encoders
import time:       316 |       1178 |                                           email.charset
import time:       432 |       2247 |                                         email.utils
import time:       422 |        422 |                                           email.header
import time:       244 |        666 |                                         email._policybase
import time:       145 |        145 |                                         email._encoded_words
import time:       167 |        167 |                                         email.iterators
import time:       450 |       4346 |                                       email.message
import time:       461 |        461 |                                         importlib.metadata._functools
import time:       155 |        616 |                                       importlib.metadata._text
import time:       282 |       5244 |                                     importlib.metadata._adapters
import time:       191 |        191 |                                     importlib.metadata._meta
import time:       153 |        153 |                                     importlib.metadata._collections
import time:        83 |         83 |                                     importlib.metadata._itertools
import time:       359 |        359 |                                     importlib.abc
import time:       720 |       8751 |                                   importlib.metadata
import time:       364 |        364 |                                     email.feedparser
import time:       154 |        518 |                                   email.parser
import time:      4541 |      13809 |                                 torch.utils._pytree
import time:       157 |      13966 |                               torch._vmap_internals
import time:       223 |        223 |                                   torch.utils._contextlib
import time:       292 |        514 |                                 torch.autograd.grad_mode
import time:       356 |        870 |                               torch.autograd.forward_ad
import time:       280 |        280 |                               torch.autograd.functional
import time:       226 |        226 |                                 torch.autograd.variable
import time:       581 |        807 |                               torch.autograd.graph
import time:       220 |        220 |                               torch.autograd.anomaly_mode
import time:       215 |        215 |                                 torch._functorch
import time:       210 |        210 |                                       torch.utils._exposed_in
import time:       212 |        422 |                                     torch._functorch.utils
import time:       612 |        612 |                                     torch._functorch.vmap
import time:       243 |       1276 |                                   torch._functorch.apis
import time:       285 |        285 |                                     torch._functorch.pyfunctorch
import time:       552 |        837 |                                   torch._ops
import time:       420 |       2532 |                                 torch._functorch.autograd_function
import time:       406 |       3152 |                               torch.autograd.function
import time:       303 |        303 |                                   torch.testing._utils
import time:       836 |        836 |                                     cmath
import time:       638 |       1474 |                                   torch.testing._comparison
import time:       289 |        289 |                                   torch.testing._creation
import time:       222 |       2287 |                                 torch.testing
import time:       526 |       2813 |                               torch.autograd.gradcheck
import time:       863 |        863 |                                   _uuid
import time:       388 |       1250 |                                 uuid
import time:       419 |        419 |                                 torch.autograd.profiler_util
import time:       635 |       2303 |                               torch.autograd.profiler
import time:       910 |      25317 |                             torch.autograd
import time:       279 |      25596 |                           torch.autograd.profiler_legacy
import time:       578 |      26174 |                         torch.distributed.rpc.server_process_global_profiler
import time:       709 |      29493 |                       torch.distributed.rpc
import time:       544 |        544 |                                   pickletools
import time:       246 |        246 |                                   torch.package._digraph
import time:       208 |        208 |                                   torch.package._importlib
import time:       211 |        211 |                                   torch.package._mangling
import time:       287 |        287 |                                     torch.package.importer
import time:       252 |        538 |                                   torch.package._package_pickler
import time:       217 |        217 |                                   torch.package._stdlib
import time:       235 |        235 |                                   torch.package.find_file_dependencies
import time:       240 |        240 |                                   torch.package.glob_group
import time:       689 |       3125 |                                 torch.package.package_exporter
import time:       239 |       3364 |                               torch.package.analyze.find_first_use_of_broken_modules
import time:       105 |        105 |                               torch.package.analyze.trace_dependencies
import time:       249 |       3716 |                             torch.package.analyze
import time:       191 |       3907 |                           torch.package.analyze.is_from_package
import time:       211 |        211 |                           torch.package.file_structure_representation
import time:       210 |        210 |                             torch.package._directory_reader
import time:       194 |        194 |                             torch.package._package_unpickler
import time:       370 |        773 |                           torch.package.package_importer
import time:       212 |       5101 |                         torch.package
import time:         9 |       5109 |                       torch.package._mangling
import time:       216 |        216 |                       torch._awaits
import time:       530 |      35347 |                     torch._jit_internal
import time:      1128 |       1128 |                     torch._torch_docs
import time:       113 |        113 |                     torch.nn._reduction
import time:       182 |        182 |                       torch.nn.modules.utils
import time:       192 |        373 |                     torch.nn.grad
import time:      4489 |      41447 |                   torch.nn.functional
import time:       290 |        290 |                   torch.nn.init
import time:       279 |        279 |                   torch.nn.modules.lazy
import time:       376 |      42391 |                 torch.nn.modules.linear
import time:       492 |        492 |                 torch.nn.modules.activation
import time:       797 |        797 |                   torch.nn.modules.container
import time:       277 |       1074 |                 torch.nn.modules.adaptive
import time:       283 |        283 |                   torch.nn.modules._functions
import time:       835 |       1117 |                 torch.nn.modules.batchnorm
import time:       238 |        238 |                 torch.nn.modules.channelshuffle
import time:       381 |        381 |                   torch.nn.common_types
import time:       503 |        883 |                 torch.nn.modules.conv
import time:       226 |        226 |                 torch.nn.modules.distance
import time:       264 |        264 |                 torch.nn.modules.dropout
import time:       242 |        242 |                 torch.nn.modules.flatten
import time:       281 |        281 |                 torch.nn.modules.fold
import time:       264 |        264 |                 torch.nn.modules.instancenorm
import time:       441 |        441 |                 torch.nn.modules.loss
import time:       299 |        299 |                 torch.nn.modules.normalization
import time:       353 |        353 |                 torch.nn.modules.padding
import time:       214 |        214 |                 torch.nn.modules.pixelshuffle
import time:       517 |        517 |                 torch.nn.modules.pooling
import time:       202 |        202 |                           torch.__future__
import time:       318 |        520 |                         torch.nn.utils.parametrize
import time:       364 |        883 |                       torch.nn.utils.parametrizations
import time:       388 |        388 |                       torch.nn.utils.rnn
import time:       277 |        277 |                         torch.nn.utils._named_member_accessor
import time:       266 |        542 |                       torch.nn.utils.stateless
import time:       211 |        211 |                         torch.utils._foreach_utils
import time:       246 |        456 |                       torch.nn.utils.clip_grad
import time:       166 |        166 |                       torch.nn.utils.convert_parameters
import time:       187 |        187 |                       torch.nn.utils.fusion
import time:       185 |        185 |                       torch.nn.utils.init
import time:       159 |        159 |                       torch.nn.utils.memory_format
import time:       133 |        133 |                       torch.nn.utils.spectral_norm
import time:       190 |        190 |                       torch.nn.utils.weight_norm
import time:       312 |       3595 |                     torch.nn.utils
import time:         8 |       3603 |                   torch.nn.utils.rnn
import time:      1760 |       5363 |                 torch.nn.modules.rnn
import time:       363 |        363 |                 torch.nn.modules.sparse
import time:       429 |        429 |                 torch.nn.modules.transformer
import time:       263 |        263 |                 torch.nn.modules.upsampling
import time:       372 |     114166 |               torch.nn.modules
import time:       210 |        210 |                     torch.backends.cpu
import time:       334 |        334 |                     torch.backends.cuda
import time:       255 |        255 |                     torch.backends.cudnn
import time:       209 |        209 |                     torch.backends.cusparselt
import time:       175 |        175 |                     torch.backends.kleidiai
import time:       174 |        174 |                     torch.backends.mha
import time:       179 |        179 |                     torch.backends.mkl
import time:       231 |        231 |                     torch.backends.mkldnn
import time:       524 |        524 |                             torch._library.utils
import time:       477 |       1000 |                           torch._library.autograd
import time:       294 |        294 |                           torch._library.fake_impl
import time:       211 |        211 |                           torch._library.simple_registry
import time:       353 |        353 |                           torch._library.fake_class_registry
import time:       355 |        355 |                             torch._library.custom_ops
import time:       387 |        387 |                             torch._library.infer_schema
import time:       123 |        864 |                           torch._library.triton
import time:       195 |       2915 |                         torch._library
import time:       565 |       3479 |                       torch.library
import time:       218 |       3697 |                     torch.backends.mps
import time:       280 |        280 |                     torch.backends.nnpack
import time:       184 |        184 |                     torch.backends.openmp
import time:       208 |        208 |                     torch.backends.quantized
import time:       312 |       6442 |                   torch.backends
